,training_size,allowed_FN,init_included_papers,dataset
121,100,7,10,ptsd
122,100,4,10,ptsd
123,150,0,10,ptsd
124,300,0,10,ptsd
125,450,7,10,ptsd
126,50,3,10,ptsd
127,100,9,10,ptsd
128,200,1,15,ptsd
129,500,0,15,ptsd
130,150,1,15,ptsd
131,250,1,20,ptsd
132,300,0,15,ptsd
133,350,1,10,ptsd
134,100,1,15,ptsd
135,450,0,20,ptsd
136,500,4,10,ptsd
137,300,1,10,ptsd
138,350,0,15,ptsd
139,250,8,10,ptsd
140,200,3,10,ptsd
141,200,0,10,ptsd
142,400,4,10,ptsd
143,350,1,15,ptsd
144,300,8,10,ptsd
145,350,6,10,ptsd
146,50,0,15,ptsd
147,100,1,10,ptsd
148,100,6,10,ptsd
149,450,5,10,ptsd
150,50,2,10,ptsd
151,100,8,10,ptsd
152,400,5,10,ptsd
153,300,9,10,ptsd
154,350,7,10,ptsd
155,150,0,15,ptsd
156,200,0,15,ptsd
157,500,6,10,ptsd
158,250,5,10,ptsd
159,250,6,10,ptsd
160,50,0,20,ptsd
161,500,1,20,ptsd
162,200,5,10,ptsd
163,200,2,10,ptsd
164,150,5,10,ptsd
165,450,2,10,ptsd
166,500,8,10,ptsd
167,150,1,20,ptsd
168,150,3,10,ptsd
169,350,4,10,ptsd
170,500,7,10,ptsd
171,50,4,10,ptsd
172,50,9,10,ptsd
173,100,3,10,ptsd
174,100,0,10,ptsd
175,450,3,10,ptsd
176,500,9,10,ptsd
177,100,5,10,ptsd
178,100,1,20,ptsd
179,450,0,15,ptsd
180,500,1,10,ptsd
181,500,1,15,ptsd
182,300,6,10,ptsd
183,350,5,10,ptsd
184,350,8,10,ptsd
185,400,1,20,ptsd
186,350,3,10,ptsd
187,250,4,10,ptsd
188,200,7,10,ptsd
189,200,4,10,ptsd
190,150,0,20,ptsd
191,150,4,10,ptsd
192,250,2,10,ptsd
193,200,1,10,ptsd
194,150,1,10,ptsd
195,150,2,10,ptsd
196,250,1,15,ptsd
197,300,0,20,ptsd
198,50,8,10,ptsd
199,100,2,10,ptsd
200,400,2,10,ptsd
201,450,9,10,ptsd
202,500,0,10,ptsd
203,400,9,10,ptsd
204,500,3,10,ptsd
205,250,3,10,ptsd
206,300,3,10,ptsd
207,300,1,20,ptsd
208,500,5,10,ptsd
209,300,5,10,ptsd
210,400,0,20,ptsd
211,200,6,10,ptsd
212,150,9,10,ptsd
213,50,1,15,ptsd
214,250,0,10,ptsd
215,150,7,10,ptsd
216,450,4,10,ptsd
217,450,1,20,ptsd
218,50,0,10,ptsd
219,400,7,10,ptsd
220,250,0,15,ptsd
221,50,6,10,ptsd
222,400,1,10,ptsd
223,450,8,10,ptsd
224,500,2,10,ptsd
225,450,1,15,ptsd
226,250,1,10,ptsd
227,300,2,10,ptsd
228,50,1,10,ptsd
229,250,7,10,ptsd
230,50,1,20,ptsd
231,300,7,10,ptsd
232,300,4,10,ptsd
233,350,9,10,ptsd
234,200,1,20,ptsd
235,350,0,20,ptsd
236,50,7,10,ptsd
237,350,2,10,ptsd
238,100,0,15,ptsd
239,150,8,10,ptsd
240,200,8,10,ptsd
241,300,1,15,ptsd
242,150,6,10,ptsd
243,350,1,20,ptsd
244,100,0,20,ptsd
245,400,6,10,ptsd
246,400,0,15,ptsd
247,500,0,20,ptsd
248,450,0,10,ptsd
249,400,3,10,ptsd
250,400,0,10,ptsd
251,250,9,10,ptsd
252,200,9,10,ptsd
253,400,8,10,ptsd
254,450,6,10,ptsd
255,400,1,15,ptsd
256,200,0,20,ptsd
257,50,5,10,ptsd
258,250,0,20,ptsd
259,350,0,10,ptsd
260,450,1,10,ptsd
261,100,7,10,ptsd
262,100,4,10,ptsd
263,150,0,10,ptsd
264,300,0,10,ptsd
265,450,7,10,ptsd
266,50,3,10,ptsd
267,100,9,10,ptsd
268,200,1,15,ptsd
269,500,0,15,ptsd
270,150,1,15,ptsd
271,250,1,20,ptsd
272,300,0,15,ptsd
273,350,1,10,ptsd
274,100,1,15,ptsd
275,450,0,20,ptsd
276,500,4,10,ptsd
277,300,1,10,ptsd
278,350,0,15,ptsd
279,250,8,10,ptsd
280,200,3,10,ptsd
281,200,0,10,ptsd
282,400,4,10,ptsd
283,350,1,15,ptsd
284,300,8,10,ptsd
285,350,6,10,ptsd
286,50,0,15,ptsd
287,100,1,10,ptsd
288,100,6,10,ptsd
289,450,5,10,ptsd
290,50,2,10,ptsd
291,100,8,10,ptsd
292,400,5,10,ptsd
293,300,9,10,ptsd
294,350,7,10,ptsd
295,150,0,15,ptsd
296,200,0,15,ptsd
297,500,6,10,ptsd
298,250,5,10,ptsd
299,250,6,10,ptsd
300,50,0,20,ptsd
301,500,1,20,ptsd
302,200,5,10,ptsd
303,200,2,10,ptsd
304,150,5,10,ptsd
305,450,2,10,ptsd
306,500,8,10,ptsd
307,150,1,20,ptsd
308,150,3,10,ptsd
309,350,4,10,ptsd
310,500,7,10,ptsd
311,50,4,10,ptsd
312,50,9,10,ptsd
313,100,3,10,ptsd
314,100,0,10,ptsd
315,450,3,10,ptsd
316,500,9,10,ptsd
317,100,5,10,ptsd
318,100,1,20,ptsd
319,450,0,15,ptsd
320,500,1,10,ptsd
321,500,1,15,ptsd
322,300,6,10,ptsd
323,350,5,10,ptsd
324,350,8,10,ptsd
325,400,1,20,ptsd
326,350,3,10,ptsd
327,250,4,10,ptsd
328,200,7,10,ptsd
329,200,4,10,ptsd
330,150,0,20,ptsd
331,150,4,10,ptsd
332,250,2,10,ptsd
333,200,1,10,ptsd
334,150,1,10,ptsd
335,150,2,10,ptsd
336,250,1,15,ptsd
337,300,0,20,ptsd
338,50,8,10,ptsd
339,100,2,10,ptsd
340,400,2,10,ptsd
341,450,9,10,ptsd
342,500,0,10,ptsd
343,400,9,10,ptsd
344,500,3,10,ptsd
345,250,3,10,ptsd
346,300,3,10,ptsd
347,300,1,20,ptsd
348,500,5,10,ptsd
349,300,5,10,ptsd
350,400,0,20,ptsd
351,200,6,10,ptsd
352,150,9,10,ptsd
353,50,1,15,ptsd
354,250,0,10,ptsd
355,150,7,10,ptsd
356,450,4,10,ptsd
357,450,1,20,ptsd
358,50,0,10,ptsd
359,400,7,10,ptsd
360,250,0,15,ptsd
361,50,6,10,ptsd
362,400,1,10,ptsd
363,450,8,10,ptsd
364,500,2,10,ptsd
365,450,1,15,ptsd
366,250,1,10,ptsd
367,300,2,10,ptsd
368,50,1,10,ptsd
369,250,7,10,ptsd
370,50,1,20,ptsd
371,300,7,10,ptsd
372,300,4,10,ptsd
373,350,9,10,ptsd
374,200,1,20,ptsd
375,350,0,20,ptsd
376,50,7,10,ptsd
377,350,2,10,ptsd
378,100,0,15,ptsd
379,150,8,10,ptsd
380,200,8,10,ptsd
381,300,1,15,ptsd
382,150,6,10,ptsd
383,350,1,20,ptsd
384,100,0,20,ptsd
385,400,6,10,ptsd
386,400,0,15,ptsd
387,500,0,20,ptsd
388,450,0,10,ptsd
389,400,3,10,ptsd
390,400,0,10,ptsd
391,250,9,10,ptsd
392,200,9,10,ptsd
393,400,8,10,ptsd
394,450,6,10,ptsd
395,400,1,15,ptsd
396,200,0,20,ptsd
397,50,5,10,ptsd
398,250,0,20,ptsd
399,350,0,10,ptsd
400,450,1,10,ptsd
401,100,7,10,ptsd
402,100,4,10,ptsd
403,150,0,10,ptsd
404,300,0,10,ptsd
405,450,7,10,ptsd
406,50,3,10,ptsd
407,100,9,10,ptsd
408,200,1,15,ptsd
409,500,0,15,ptsd
410,150,1,15,ptsd
411,250,1,20,ptsd
412,300,0,15,ptsd
413,350,1,10,ptsd
414,100,1,15,ptsd
415,450,0,20,ptsd
416,500,4,10,ptsd
417,300,1,10,ptsd
418,350,0,15,ptsd
419,250,8,10,ptsd
420,200,3,10,ptsd
421,200,0,10,ptsd
422,400,4,10,ptsd
423,350,1,15,ptsd
424,300,8,10,ptsd
425,350,6,10,ptsd
426,50,0,15,ptsd
427,100,1,10,ptsd
428,100,6,10,ptsd
429,450,5,10,ptsd
430,50,2,10,ptsd
431,100,8,10,ptsd
432,400,5,10,ptsd
433,300,9,10,ptsd
434,350,7,10,ptsd
435,150,0,15,ptsd
436,200,0,15,ptsd
437,500,6,10,ptsd
438,250,5,10,ptsd
439,250,6,10,ptsd
440,50,0,20,ptsd
441,500,1,20,ptsd
442,200,5,10,ptsd
443,200,2,10,ptsd
444,150,5,10,ptsd
445,450,2,10,ptsd
446,500,8,10,ptsd
447,150,1,20,ptsd
448,150,3,10,ptsd
449,350,4,10,ptsd
450,500,7,10,ptsd
451,50,4,10,ptsd
452,50,9,10,ptsd
453,100,3,10,ptsd
454,100,0,10,ptsd
455,450,3,10,ptsd
456,500,9,10,ptsd
457,100,5,10,ptsd
458,100,1,20,ptsd
459,450,0,15,ptsd
460,500,1,10,ptsd
461,500,1,15,ptsd
462,300,6,10,ptsd
463,350,5,10,ptsd
464,350,8,10,ptsd
465,400,1,20,ptsd
466,350,3,10,ptsd
467,250,4,10,ptsd
468,200,7,10,ptsd
469,200,4,10,ptsd
470,150,0,20,ptsd
471,150,4,10,ptsd
472,250,2,10,ptsd
473,200,1,10,ptsd
474,150,1,10,ptsd
475,150,2,10,ptsd
476,250,1,15,ptsd
477,300,0,20,ptsd
478,50,8,10,ptsd
479,100,2,10,ptsd
480,400,2,10,ptsd
481,450,9,10,ptsd
482,500,0,10,ptsd
483,400,9,10,ptsd
484,500,3,10,ptsd
485,250,3,10,ptsd
486,300,3,10,ptsd
487,300,1,20,ptsd
488,500,5,10,ptsd
489,300,5,10,ptsd
490,400,0,20,ptsd
491,200,6,10,ptsd
492,150,9,10,ptsd
493,50,1,15,ptsd
494,250,0,10,ptsd
495,150,7,10,ptsd
496,450,4,10,ptsd
497,450,1,20,ptsd
498,50,0,10,ptsd
499,400,7,10,ptsd
500,250,0,15,ptsd
501,50,6,10,ptsd
502,400,1,10,ptsd
503,450,8,10,ptsd
504,500,2,10,ptsd
505,450,1,15,ptsd
506,250,1,10,ptsd
507,300,2,10,ptsd
508,50,1,10,ptsd
509,250,7,10,ptsd
510,50,1,20,ptsd
511,300,7,10,ptsd
512,300,4,10,ptsd
513,350,9,10,ptsd
514,200,1,20,ptsd
515,350,0,20,ptsd
516,50,7,10,ptsd
517,350,2,10,ptsd
518,100,0,15,ptsd
519,150,8,10,ptsd
520,200,8,10,ptsd
521,300,1,15,ptsd
522,150,6,10,ptsd
523,350,1,20,ptsd
524,100,0,20,ptsd
525,400,6,10,ptsd
526,400,0,15,ptsd
527,500,0,20,ptsd
528,450,0,10,ptsd
529,400,3,10,ptsd
530,400,0,10,ptsd
531,250,9,10,ptsd
532,200,9,10,ptsd
533,400,8,10,ptsd
534,450,6,10,ptsd
535,400,1,15,ptsd
536,200,0,20,ptsd
537,50,5,10,ptsd
538,250,0,20,ptsd
539,350,0,10,ptsd
540,450,1,10,ptsd
541,100,7,10,ptsd
542,100,4,10,ptsd
543,150,0,10,ptsd
544,300,0,10,ptsd
545,450,7,10,ptsd
546,50,3,10,ptsd
547,100,9,10,ptsd
548,200,1,15,ptsd
549,500,0,15,ptsd
550,150,1,15,ptsd
551,250,1,20,ptsd
552,300,0,15,ptsd
553,350,1,10,ptsd
554,100,1,15,ptsd
555,450,0,20,ptsd
556,500,4,10,ptsd
557,300,1,10,ptsd
558,350,0,15,ptsd
559,250,8,10,ptsd
560,200,3,10,ptsd
561,200,0,10,ptsd
562,400,4,10,ptsd
563,350,1,15,ptsd
564,300,8,10,ptsd
565,350,6,10,ptsd
566,50,0,15,ptsd
567,100,1,10,ptsd
568,100,6,10,ptsd
569,450,5,10,ptsd
570,50,2,10,ptsd
571,100,8,10,ptsd
572,400,5,10,ptsd
573,300,9,10,ptsd
574,350,7,10,ptsd
575,150,0,15,ptsd
576,200,0,15,ptsd
577,500,6,10,ptsd
578,250,5,10,ptsd
579,250,6,10,ptsd
580,50,0,20,ptsd
581,500,1,20,ptsd
582,200,5,10,ptsd
583,200,2,10,ptsd
584,150,5,10,ptsd
585,450,2,10,ptsd
586,500,8,10,ptsd
587,150,1,20,ptsd
588,150,3,10,ptsd
589,350,4,10,ptsd
590,500,7,10,ptsd
591,50,4,10,ptsd
592,50,9,10,ptsd
593,100,3,10,ptsd
594,100,0,10,ptsd
595,450,3,10,ptsd
596,500,9,10,ptsd
597,100,5,10,ptsd
598,100,1,20,ptsd
599,450,0,15,ptsd
600,500,1,10,ptsd
601,500,1,15,ptsd
602,300,6,10,ptsd
603,350,5,10,ptsd
604,350,8,10,ptsd
605,400,1,20,ptsd
606,350,3,10,ptsd
607,250,4,10,ptsd
608,200,7,10,ptsd
609,200,4,10,ptsd
610,150,0,20,ptsd
611,150,4,10,ptsd
612,250,2,10,ptsd
613,200,1,10,ptsd
614,150,1,10,ptsd
615,150,2,10,ptsd
616,250,1,15,ptsd
617,300,0,20,ptsd
618,50,8,10,ptsd
619,100,2,10,ptsd
620,400,2,10,ptsd
621,450,9,10,ptsd
622,500,0,10,ptsd
623,400,9,10,ptsd
624,500,3,10,ptsd
625,250,3,10,ptsd
626,300,3,10,ptsd
627,300,1,20,ptsd
628,500,5,10,ptsd
629,300,5,10,ptsd
630,400,0,20,ptsd
631,200,6,10,ptsd
632,150,9,10,ptsd
633,50,1,15,ptsd
634,250,0,10,ptsd
635,150,7,10,ptsd
636,450,4,10,ptsd
637,450,1,20,ptsd
638,50,0,10,ptsd
639,400,7,10,ptsd
640,250,0,15,ptsd
641,50,6,10,ptsd
642,400,1,10,ptsd
643,450,8,10,ptsd
644,500,2,10,ptsd
645,450,1,15,ptsd
646,250,1,10,ptsd
647,300,2,10,ptsd
648,50,1,10,ptsd
649,250,7,10,ptsd
650,50,1,20,ptsd
651,300,7,10,ptsd
652,300,4,10,ptsd
653,350,9,10,ptsd
654,200,1,20,ptsd
655,350,0,20,ptsd
656,50,7,10,ptsd
657,350,2,10,ptsd
658,100,0,15,ptsd
659,150,8,10,ptsd
660,200,8,10,ptsd
661,300,1,15,ptsd
662,150,6,10,ptsd
663,350,1,20,ptsd
664,100,0,20,ptsd
665,400,6,10,ptsd
666,400,0,15,ptsd
667,500,0,20,ptsd
668,450,0,10,ptsd
669,400,3,10,ptsd
670,400,0,10,ptsd
671,250,9,10,ptsd
672,200,9,10,ptsd
673,400,8,10,ptsd
674,450,6,10,ptsd
675,400,1,15,ptsd
676,200,0,20,ptsd
677,50,5,10,ptsd
678,250,0,20,ptsd
679,350,0,10,ptsd
680,450,1,10,ptsd
681,100,7,10,ptsd
682,100,4,10,ptsd
683,150,0,10,ptsd
684,300,0,10,ptsd
685,450,7,10,ptsd
686,50,3,10,ptsd
687,100,9,10,ptsd
688,200,1,15,ptsd
689,500,0,15,ptsd
690,150,1,15,ptsd
691,250,1,20,ptsd
692,300,0,15,ptsd
693,350,1,10,ptsd
694,100,1,15,ptsd
695,450,0,20,ptsd
696,500,4,10,ptsd
697,300,1,10,ptsd
698,350,0,15,ptsd
699,250,8,10,ptsd
700,200,3,10,ptsd
701,200,0,10,ptsd
702,400,4,10,ptsd
703,350,1,15,ptsd
704,300,8,10,ptsd
705,350,6,10,ptsd
706,50,0,15,ptsd
707,100,1,10,ptsd
708,100,6,10,ptsd
709,450,5,10,ptsd
710,50,2,10,ptsd
711,100,8,10,ptsd
712,400,5,10,ptsd
713,300,9,10,ptsd
714,350,7,10,ptsd
715,150,0,15,ptsd
716,200,0,15,ptsd
717,500,6,10,ptsd
718,250,5,10,ptsd
719,250,6,10,ptsd
720,50,0,20,ptsd
721,500,1,20,ptsd
722,200,5,10,ptsd
723,200,2,10,ptsd
724,150,5,10,ptsd
725,450,2,10,ptsd
726,500,8,10,ptsd
727,150,1,20,ptsd
728,150,3,10,ptsd
729,350,4,10,ptsd
730,500,7,10,ptsd
731,50,4,10,ptsd
732,50,9,10,ptsd
733,100,3,10,ptsd
734,100,0,10,ptsd
735,450,3,10,ptsd
736,500,9,10,ptsd
737,100,5,10,ptsd
738,100,1,20,ptsd
739,450,0,15,ptsd
740,500,1,10,ptsd
741,500,1,15,ptsd
742,300,6,10,ptsd
743,350,5,10,ptsd
744,350,8,10,ptsd
745,400,1,20,ptsd
746,350,3,10,ptsd
747,250,4,10,ptsd
748,200,7,10,ptsd
749,200,4,10,ptsd
750,150,0,20,ptsd
751,150,4,10,ptsd
752,250,2,10,ptsd
753,200,1,10,ptsd
754,150,1,10,ptsd
755,150,2,10,ptsd
756,250,1,15,ptsd
757,300,0,20,ptsd
758,50,8,10,ptsd
759,100,2,10,ptsd
760,400,2,10,ptsd
761,450,9,10,ptsd
762,500,0,10,ptsd
763,400,9,10,ptsd
764,500,3,10,ptsd
765,250,3,10,ptsd
766,300,3,10,ptsd
767,300,1,20,ptsd
768,500,5,10,ptsd
769,300,5,10,ptsd
770,400,0,20,ptsd
771,200,6,10,ptsd
772,150,9,10,ptsd
773,50,1,15,ptsd
774,250,0,10,ptsd
775,150,7,10,ptsd
776,450,4,10,ptsd
777,450,1,20,ptsd
778,50,0,10,ptsd
779,400,7,10,ptsd
780,250,0,15,ptsd
781,50,6,10,ptsd
782,400,1,10,ptsd
783,450,8,10,ptsd
784,500,2,10,ptsd
785,450,1,15,ptsd
786,250,1,10,ptsd
787,300,2,10,ptsd
788,50,1,10,ptsd
789,250,7,10,ptsd
790,50,1,20,ptsd
791,300,7,10,ptsd
792,300,4,10,ptsd
793,350,9,10,ptsd
794,200,1,20,ptsd
795,350,0,20,ptsd
796,50,7,10,ptsd
797,350,2,10,ptsd
798,100,0,15,ptsd
799,150,8,10,ptsd
800,200,8,10,ptsd
801,300,1,15,ptsd
802,150,6,10,ptsd
803,350,1,20,ptsd
804,100,0,20,ptsd
805,400,6,10,ptsd
806,400,0,15,ptsd
807,500,0,20,ptsd
808,450,0,10,ptsd
809,400,3,10,ptsd
810,400,0,10,ptsd
811,250,9,10,ptsd
812,200,9,10,ptsd
813,400,8,10,ptsd
814,450,6,10,ptsd
815,400,1,15,ptsd
816,200,0,20,ptsd
817,50,5,10,ptsd
818,250,0,20,ptsd
819,350,0,10,ptsd
820,450,1,10,ptsd
821,100,7,10,ptsd
822,100,4,10,ptsd
823,150,0,10,ptsd
824,300,0,10,ptsd
825,450,7,10,ptsd
826,50,3,10,ptsd
827,100,9,10,ptsd
828,200,1,15,ptsd
829,500,0,15,ptsd
830,150,1,15,ptsd
831,250,1,20,ptsd
832,300,0,15,ptsd
833,350,1,10,ptsd
834,100,1,15,ptsd
835,450,0,20,ptsd
836,500,4,10,ptsd
837,300,1,10,ptsd
838,350,0,15,ptsd
839,250,8,10,ptsd
840,200,3,10,ptsd
841,200,0,10,ptsd
842,400,4,10,ptsd
843,350,1,15,ptsd
844,300,8,10,ptsd
845,350,6,10,ptsd
846,50,0,15,ptsd
847,100,1,10,ptsd
848,100,6,10,ptsd
849,450,5,10,ptsd
850,50,2,10,ptsd
851,100,8,10,ptsd
852,400,5,10,ptsd
853,300,9,10,ptsd
854,350,7,10,ptsd
855,150,0,15,ptsd
856,200,0,15,ptsd
857,500,6,10,ptsd
858,250,5,10,ptsd
859,250,6,10,ptsd
860,50,0,20,ptsd
861,500,1,20,ptsd
862,200,5,10,ptsd
863,200,2,10,ptsd
864,150,5,10,ptsd
865,450,2,10,ptsd
866,500,8,10,ptsd
867,150,1,20,ptsd
868,150,3,10,ptsd
869,350,4,10,ptsd
870,500,7,10,ptsd
871,50,4,10,ptsd
872,50,9,10,ptsd
873,100,3,10,ptsd
874,100,0,10,ptsd
875,450,3,10,ptsd
876,500,9,10,ptsd
877,100,5,10,ptsd
878,100,1,20,ptsd
879,450,0,15,ptsd
880,500,1,10,ptsd
881,500,1,15,ptsd
882,300,6,10,ptsd
883,350,5,10,ptsd
884,350,8,10,ptsd
885,400,1,20,ptsd
886,350,3,10,ptsd
887,250,4,10,ptsd
888,200,7,10,ptsd
889,200,4,10,ptsd
890,150,0,20,ptsd
891,150,4,10,ptsd
892,250,2,10,ptsd
893,200,1,10,ptsd
894,150,1,10,ptsd
895,150,2,10,ptsd
896,250,1,15,ptsd
897,300,0,20,ptsd
898,50,8,10,ptsd
899,100,2,10,ptsd
900,400,2,10,ptsd
901,450,9,10,ptsd
902,500,0,10,ptsd
903,400,9,10,ptsd
904,500,3,10,ptsd
905,250,3,10,ptsd
906,300,3,10,ptsd
907,300,1,20,ptsd
908,500,5,10,ptsd
909,300,5,10,ptsd
910,400,0,20,ptsd
911,200,6,10,ptsd
912,150,9,10,ptsd
913,50,1,15,ptsd
914,250,0,10,ptsd
915,150,7,10,ptsd
916,450,4,10,ptsd
917,450,1,20,ptsd
918,50,0,10,ptsd
919,400,7,10,ptsd
920,250,0,15,ptsd
921,50,6,10,ptsd
922,400,1,10,ptsd
923,450,8,10,ptsd
924,500,2,10,ptsd
925,450,1,15,ptsd
926,250,1,10,ptsd
927,300,2,10,ptsd
928,50,1,10,ptsd
929,250,7,10,ptsd
930,50,1,20,ptsd
931,300,7,10,ptsd
932,300,4,10,ptsd
933,350,9,10,ptsd
934,200,1,20,ptsd
935,350,0,20,ptsd
936,50,7,10,ptsd
937,350,2,10,ptsd
938,100,0,15,ptsd
939,150,8,10,ptsd
940,200,8,10,ptsd
941,300,1,15,ptsd
942,150,6,10,ptsd
943,350,1,20,ptsd
944,100,0,20,ptsd
945,400,6,10,ptsd
946,400,0,15,ptsd
947,500,0,20,ptsd
948,450,0,10,ptsd
949,400,3,10,ptsd
950,400,0,10,ptsd
951,250,9,10,ptsd
952,200,9,10,ptsd
953,400,8,10,ptsd
954,450,6,10,ptsd
955,400,1,15,ptsd
956,200,0,20,ptsd
957,50,5,10,ptsd
958,250,0,20,ptsd
959,350,0,10,ptsd
960,450,1,10,ptsd
961,100,7,10,ptsd
962,100,4,10,ptsd
963,150,0,10,ptsd
964,300,0,10,ptsd
965,450,7,10,ptsd
966,50,3,10,ptsd
967,100,9,10,ptsd
968,200,1,15,ptsd
969,500,0,15,ptsd
970,150,1,15,ptsd
971,250,1,20,ptsd
972,300,0,15,ptsd
973,350,1,10,ptsd
974,100,1,15,ptsd
975,450,0,20,ptsd
976,500,4,10,ptsd
977,300,1,10,ptsd
978,350,0,15,ptsd
979,250,8,10,ptsd
980,200,3,10,ptsd
981,200,0,10,ptsd
982,400,4,10,ptsd
983,350,1,15,ptsd
984,300,8,10,ptsd
985,350,6,10,ptsd
986,50,0,15,ptsd
987,100,1,10,ptsd
988,100,6,10,ptsd
989,450,5,10,ptsd
990,50,2,10,ptsd
991,100,8,10,ptsd
992,400,5,10,ptsd
993,300,9,10,ptsd
994,350,7,10,ptsd
995,150,0,15,ptsd
996,200,0,15,ptsd
997,500,6,10,ptsd
998,250,5,10,ptsd
999,250,6,10,ptsd
1000,50,0,20,ptsd
1001,500,1,20,ptsd
1002,200,5,10,ptsd
1003,200,2,10,ptsd
1004,150,5,10,ptsd
1005,450,2,10,ptsd
1006,500,8,10,ptsd
1007,150,1,20,ptsd
1008,150,3,10,ptsd
1009,350,4,10,ptsd
1010,500,7,10,ptsd
1011,50,4,10,ptsd
1012,50,9,10,ptsd
1013,100,3,10,ptsd
1014,100,0,10,ptsd
1015,450,3,10,ptsd
1016,500,9,10,ptsd
1017,100,5,10,ptsd
1018,100,1,20,ptsd
1019,450,0,15,ptsd
1020,500,1,10,ptsd
1021,500,1,15,ptsd
1022,300,6,10,ptsd
1023,350,5,10,ptsd
1024,350,8,10,ptsd
1025,400,1,20,ptsd
1026,350,3,10,ptsd
1027,250,4,10,ptsd
1028,200,7,10,ptsd
1029,200,4,10,ptsd
1030,150,0,20,ptsd
1031,150,4,10,ptsd
1032,250,2,10,ptsd
1033,200,1,10,ptsd
1034,150,1,10,ptsd
1035,150,2,10,ptsd
1036,250,1,15,ptsd
1037,300,0,20,ptsd
1038,50,8,10,ptsd
1039,100,2,10,ptsd
1040,400,2,10,ptsd
1041,450,9,10,ptsd
1042,500,0,10,ptsd
1043,400,9,10,ptsd
1044,500,3,10,ptsd
1045,250,3,10,ptsd
1046,300,3,10,ptsd
1047,300,1,20,ptsd
1048,500,5,10,ptsd
1049,300,5,10,ptsd
1050,400,0,20,ptsd
1051,200,6,10,ptsd
1052,150,9,10,ptsd
1053,50,1,15,ptsd
1054,250,0,10,ptsd
1055,150,7,10,ptsd
1056,450,4,10,ptsd
1057,450,1,20,ptsd
1058,50,0,10,ptsd
1059,400,7,10,ptsd
1060,250,0,15,ptsd
1061,50,6,10,ptsd
1062,400,1,10,ptsd
1063,450,8,10,ptsd
1064,500,2,10,ptsd
1065,450,1,15,ptsd
1066,250,1,10,ptsd
1067,300,2,10,ptsd
