"","title","abstract","id","included_ats","included_final"
"12","gender differences in a clinical sample of patients with borderline personality disorder","The aim of the study was to investigate gender differences and similarities in patients with borderline personality disorder (BPD) with respect to Axis I comorbidity, Axis II comorbidity, general psychopathology (Symptom Checklist 90-Revised), and dimensional personality traits (NEO-Personality-Inventory Revised [NEO-PI-R] and the Dimensional Assessment of Personality Profile Basic questionnaire [DAPP-BQ]). Fifty-seven men and 114 women with BPD were included in the study. Regarding Axis I and II disorders in an exploratory analysis, men with BPD more often fulfilled the diagnostic criteria for binge eating disorder, antisocial personality disorder, narcissistic personality disorder, and conduct disorder in childhood, whereas women had higher frequencies of bulimia nervosa, posttraumatic stress disorder, and panic disorder with agoraphobia. After correcting for multiple tests, only the gender differences in narcissistic and antisocial personality disorder remained significant. In the SCL-90-R profile, no significant gender differences could be identified. In the exploratory analysis of the dimensional personality traits, women showed higher rates on the NEO-PI-R main factors (Neuroticism and Agreeableness) compared to men. In the DAPP-BQ profile, men reached higher sores on the main factor, Dissocial Behavior. When correcting for multiple tests, gender differences still existed for Neuroticism and Dissocial Behavior. Our results argue for gender differences in Axis I and II comorbidity and dimensional personality traits in BPD. However, in general, more similarities than differences were shown in this study.",12336,0,0
"13","secondary prevention for police officers involved in job-related psychological stressful or traumatic situations","Objectives: Police officers are at high risk of being exposed to psychologically straining situations and potentially psychotraumatic experiences. In this article, such situations are exemplified and categorized, and the role and significance of secondary prevention following traumatic experiences is discussed. Methods: From 1994 to 2003, 649 police officers received secondary prevention after being involved in a total of 250 potentially traumatic or psychologically stressful incidents. Psychological support was provided by teams of specially trained professionals in the acute phase after the incident following careful psychological evaluation. In a retrospective evaluation, the diagnoses obtained were analyzed with regard to sex and age and correlated with the severity of the incident. Three dusters of potentially traumatic situations were formed: (1) Employment of fire-arms with danger for the officer, (2) Standard situations including violence towards a third party, (3) Suicide or attempted suicide of a police officer. Results: Police officers who experienced events assigned to cluster (1), comprising situations with considerable traumatic potential, had the highest incidence of posttraumatic stress disorder (PTSD) or other mental illness. Compared to male officers, females were more often diagnosed with other mental illness, whereas males had a higher incidence of PTSD. Cluster (2), which comprised situations of an officer's daily professional life, was not associated with an increased risk of mental illness. Officers were apparently capable of coping with situations considered psychologically straining for the general public without detectable evidence of a traumatic reaction. In cluster (3), which reflects the most dramatic interference with team relations, other forms of mental illness were diagnosed at a higher incidence.",1729,0,0
"14","secondary prevention for police officers involved in job-related psychological stressful or traumatic situations","Objectives: Police officers are at high risk of being exposed to psychologically straining situations and potentially psychotraumatic experiences. In this article, such situations are exemplified and categorized, and the role and significance of secondary prevention following traumatic experiences is discussed. Methods: From 1994 to 2003, 649 police officers received secondary prevention after being involved in a total of 250 potentially traumatic or psychologically stressful incidents. Psychological support was provided by teams of specially trained professionals in the acute phase after the incident following careful psychological evaluation. In a retrospective evaluation, the diagnoses obtained were analyzed with regard to sex and age and correlated with the severity of the incident. Three dusters of potentially traumatic situations were formed: (1) Employment of fire-arms with danger for the officer, (2) Standard situations including violence towards a third party, (3) Suicide or attempted suicide of a police officer. Results: Police officers who experienced events assigned to cluster (1), comprising situations with considerable traumatic potential, had the highest incidence of posttraumatic stress disorder (PTSD) or other mental illness. Compared to male officers, females were more often diagnosed with other mental illness, whereas males had a higher incidence of PTSD. Cluster (2), which comprised situations of an officer's daily professional life, was not associated with an increased risk of mental illness. Officers were apparently capable of coping with situations considered psychologically straining for the general public without detectable evidence of a traumatic reaction. In cluster (3), which reflects the most dramatic interference with team relations, other forms of mental illness were diagnosed at a higher incidence.",10351,0,0
"15",NA,NA,14157,0,0
"16",NA,NA,14102,0,0
"17","predictors of the long-term course of comorbid ptsd: a naturalistic prospective study","Objectives. The study examined the long-term course of posttraumatic stress disorder (PTSD) by analyzing rates of recurrence and the predictive value of comorbid psychiatric disorders and psychosocial functioning. Methods. This study is based on diagnostic assessments administered at intake and subsequent follow-up interviews over a period of 15 years in a sample of 90 anxiety-disordered patients with comorbid PTSD who participated in the Harvard Brown Anxiety Research project (HARP). KaplanMeier life table analysis revealed a 0.20 probability of full remission during the 15 years of follow-up. Results. Latent growth model (LGM) analysis revealed that the number of trauma exposures was a predictor of a worse course of PTSD but only during some intervals of the 15-year follow-up. Subjects with full social phobia were more likely to experience worsening of PTSD over time in comparison with subjects with less severe social phobia. Role functioning in the areas of household and employment was a significant predictor of a declining course of PTSD. Conclusions. These findings revealed the dynamic nature of the predictive value of traumatic experiences, the deleterious effect of social phobia and the long term effect of psychosocial functioning on the course of PTSD. Implications for treatment planning and development of interventions for PTSD are discussed. (copyright) 2013 Informa Healthcare.",1185,1,0
"18","predictors of the long-term course of comorbid ptsd: a naturalistic prospective study","Objectives. The study examined the long-term course of posttraumatic stress disorder (PTSD) by analyzing rates of recurrence and the predictive value of comorbid psychiatric disorders and psychosocial functioning. Methods. This study is based on diagnostic assessments administered at intake and subsequent follow-up interviews over a period of 15 years in a sample of 90 anxiety-disordered patients with comorbid PTSD who participated in the Harvard Brown Anxiety Research project (HARP). KaplanMeier life table analysis revealed a 0.20 probability of full remission during the 15 years of follow-up. Results. Latent growth model (LGM) analysis revealed that the number of trauma exposures was a predictor of a worse course of PTSD but only during some intervals of the 15-year follow-up. Subjects with full social phobia were more likely to experience worsening of PTSD over time in comparison with subjects with less severe social phobia. Role functioning in the areas of household and employment was a significant predictor of a declining course of PTSD. Conclusions. These findings revealed the dynamic nature of the predictive value of traumatic experiences, the deleterious effect of social phobia and the long term effect of psychosocial functioning on the course of PTSD. Implications for treatment planning and development of interventions for PTSD are discussed. (copyright) 2013 Informa Healthcare.",1185,1,0
"19","predictors of the long-term course of comorbid ptsd: a naturalistic prospective study","Objectives. The study examined the long-term course of posttraumatic stress disorder (PTSD) by analyzing rates of recurrence and the predictive value of comorbid psychiatric disorders and psychosocial functioning. Methods. This study is based on diagnostic assessments administered at intake and subsequent follow-up interviews over a period of 15 years in a sample of 90 anxiety-disordered patients with comorbid PTSD who participated in the Harvard Brown Anxiety Research project (HARP). KaplanMeier life table analysis revealed a 0.20 probability of full remission during the 15 years of follow-up. Results. Latent growth model (LGM) analysis revealed that the number of trauma exposures was a predictor of a worse course of PTSD but only during some intervals of the 15-year follow-up. Subjects with full social phobia were more likely to experience worsening of PTSD over time in comparison with subjects with less severe social phobia. Role functioning in the areas of household and employment was a significant predictor of a declining course of PTSD. Conclusions. These findings revealed the dynamic nature of the predictive value of traumatic experiences, the deleterious effect of social phobia and the long term effect of psychosocial functioning on the course of PTSD. Implications for treatment planning and development of interventions for PTSD are discussed. © 2013 Informa Healthcare.",413,1,0
"20","predictors of the long-term course of comorbid ptsd: a naturalistic prospective study","Objectives. The study examined the long-term course of posttraumatic stress disorder (PTSD) by analyzing rates of recurrence and the predictive value of comorbid psychiatric disorders and psychosocial functioning. Methods. This study is based on diagnostic assessments administered at intake and subsequent follow-up interviews over a period of 15 years in a sample of 90 anxiety-disordered patients with comorbid PTSD who participated in the Harvard Brown Anxiety Research project (HARP). KaplanMeier life table analysis revealed a 0.20 probability of full remission during the 15 years of follow-up. Results. Latent growth model (LGM) analysis revealed that the number of trauma exposures was a predictor of a worse course of PTSD but only during some intervals of the 15-year follow-up. Subjects with full social phobia were more likely to experience worsening of PTSD over time in comparison with subjects with less severe social phobia. Role functioning in the areas of household and employment was a significant predictor of a declining course of PTSD. Conclusions. These findings revealed the dynamic nature of the predictive value of traumatic experiences, the deleterious effect of social phobia and the long term effect of psychosocial functioning on the course of PTSD. Implications for treatment planning and development of interventions for PTSD are discussed. © 2013 Informa Healthcare.",413,1,0
"21",NA,NA,14534,0,0
"22",NA,NA,14780,0,0
"23",NA,NA,14760,0,0
"24","trajectories of trauma symptoms and resilience in deployed us military service members: prospective cohort study","Background: Most previous attempts to determine the psychological cost of military deployment have been limited by reliance on convenience samples, lack of pre-deployment data or confidentiality and cross-sectional designs. Aims: This study addressed these limitations using a population-based, prospective cohort of US military personnel deployed in support of the operations in Iraq and Afghanistan. Method: The sample consisted of US military service members in all branches including active duty, reserve and national guard who deployed once (n = 3393) or multiple times (n = 4394). Self-reported symptoms of post-traumatic stress were obtained prior to deployment and at two follow-ups spaced 3 years apart. Data were examined for longitudinal trajectories using latent growth mixture modelling. Results: Each analysis revealed remarkably similar post-traumatic stress trajectories across time. The most common pattern was low-stable post-traumatic stress or resilience (83.1% single deployers, 84.9% multiple deployers), moderate-improving (8.0%, 8.5%), then worsening-chronic post-traumatic stress (6.7%, 4.5%), high-stable (2.2% single deployers only) and high-improving (2.2% multiple deployers only). Covariates associated with each trajectory were identified. Conclusions: The final models exhibited similar types of trajectories for single and multiple deployers; most notably, the stable trajectory of low post-traumatic stress pre- to post-deployment, or resilience, was exceptionally high. Several factors predicting trajectories were identified, which we hope will assist in future research aimed at decreasing the risk of post-traumatic stress disorder among deployers. (PsycINFO Database Record (c) 2012 APA, all rights reserved) (journal abstract)",10978,1,1
"25","trajectories of trauma symptoms and resilience in deployed us military service members: prospective cohort study","Background: Most previous attempts to determine the psychological cost of military deployment have been limited by reliance on convenience samples, lack of pre-deployment data or confidentiality and cross-sectional designs. Aims: This study addressed these limitations using a population-based, prospective cohort of US military personnel deployed in support of the operations in Iraq and Afghanistan. Method: The sample consisted of US military service members in all branches including active duty, reserve and national guard who deployed once (n = 3393) or multiple times (n = 4394). Self-reported symptoms of post-traumatic stress were obtained prior to deployment and at two follow-ups spaced 3 years apart. Data were examined for longitudinal trajectories using latent growth mixture modelling. Results: Each analysis revealed remarkably similar post-traumatic stress trajectories across time. The most common pattern was low-stable post-traumatic stress or resilience (83.1% single deployers, 84.9% multiple deployers), moderate-improving (8.0%, 8.5%), then worsening-chronic post-traumatic stress (6.7%, 4.5%), high-stable (2.2% single deployers only) and high-improving (2.2% multiple deployers only). Covariates associated with each trajectory were identified. Conclusions: The final models exhibited similar types of trajectories for single and multiple deployers; most notably, the stable trajectory of low post-traumatic stress pre- to post-deployment, or resilience, was exceptionally high. Several factors predicting trajectories were identified, which we hope will assist in future research aimed at decreasing the risk of post-traumatic stress disorder among deployers. (PsycINFO Database Record (c) 2012 APA, all rights reserved) (journal abstract)",10978,1,1
"26","trajectories of trauma symptoms and resilience in deployed us military service members: prospective cohort study","Background: Most previous attempts to determine the psychological cost of military deployment have been limited by reliance on convenience samples, lack of pre-deployment data or confidentiality and cross-sectional designs. Aims: This study addressed these limitations using a population-based, prospective cohort of US military personnel deployed in support of the operations in Iraq and Afghanistan. Method: The sample consisted of US military service members in all branches including active duty, reserve and national guard who deployed once (n = 3393) or multiple times (n = 4394). Self-reported symptoms of post-traumatic stress were obtained prior to deployment and at two follow-ups spaced 3 years apart. Data were examined for longitudinal trajectories using latent growth mixture modelling. Results: Each analysis revealed remarkably similar post-traumatic stress trajectories across time. The most common pattern was low-stable post-traumatic stress or resilience (83.1% single deployers, 84.9% multiple deployers), moderate-improving (8.0%, 8.5%), then worsening-chronic post-traumatic stress (6.7%, 4.5%), high-stable (2.2% single deployers only) and high-improving (2.2% multiple deployers only). Covariates associated with each trajectory were identified. Conclusions: The final models exhibited similar types of trajectories for single and multiple deployers; most notably, the stable trajectory of low post-traumatic stress pre- to post-deployment, or resilience, was exceptionally high. Several factors predicting trajectories were identified, which we hope will assist in future research aimed at decreasing the risk of post-traumatic stress disorder among deployers.",740,1,1
"27","trajectories of trauma symptoms and resilience in deployed us military service members: prospective cohort study","Background: Most previous attempts to determine the psychological cost of military deployment have been limited by reliance on convenience samples, lack of pre-deployment data or confidentiality and cross-sectional designs. Aims: This study addressed these limitations using a population-based, prospective cohort of US military personnel deployed in support of the operations in Iraq and Afghanistan. Method: The sample consisted of US military service members in all branches including active duty, reserve and national guard who deployed once (n = 3393) or multiple times (n = 4394). Self-reported symptoms of post-traumatic stress were obtained prior to deployment and at two follow-ups spaced 3 years apart. Data were examined for longitudinal trajectories using latent growth mixture modelling. Results: Each analysis revealed remarkably similar post-traumatic stress trajectories across time. The most common pattern was low-stable post-traumatic stress or resilience (83.1% single deployers, 84.9% multiple deployers), moderate-improving (8.0%, 8.5%), then worsening-chronic post-traumatic stress (6.7%, 4.5%), high-stable (2.2% single deployers only) and high-improving (2.2% multiple deployers only). Covariates associated with each trajectory were identified. Conclusions: The final models exhibited similar types of trajectories for single and multiple deployers; most notably, the stable trajectory of low post-traumatic stress pre- to post-deployment, or resilience, was exceptionally high. Several factors predicting trajectories were identified, which we hope will assist in future research aimed at decreasing the risk of post-traumatic stress disorder among deployers.",740,1,1
"28",NA,NA,14732,0,0
"29",NA,NA,14215,0,0
"30",NA,NA,14364,0,0
"31","typologies of posttraumatic stress disorder in treatment-seeking older adults","Results:: LPAs revealed that a 3-class solution best fit the data. These included an Intermediate Disturbance class (50.0%) and two Pervasive Disturbance classes, which differed with respect to severity of avoidance symptoms (Pervasive Disturbance-Low Avoidance: 33.5%, Pervasive Disturbance-High Avoidance: 16.5%). A greater number of traumatic events predicted membership in the Pervasive Disturbance classes. The Pervasive Disturbance-Low Avoidance class had a higher level of education than the Pervasive Disturbance-High Avoidance class. Compared to the Intermediate Disturbance class, the Pervasive Disturbance classes had the highest levels of depression, anxiety and somatization symptoms. Conclusion:: These results suggest that PTSD in treatment-seeking older adults may be characterized by three predominant typologies, which are differentiated by overall severity and avoidance symptoms, lifetime trauma burden, education level, and comorbid depression, anxiety, and somatization symptoms. These results underscore the importance of considering heterogeneity in the phenotypic presentation of PTSD in assessment and treatment approaches for this disorder in older adults. Methods:: Latent profile analyses (LPAs) were employed to evaluate predominant typologies of PTSD symptoms in a sample of 164 treatment-seeking older adults with childhood war-related trauma. Multinomial logistic regressions were conducted to evaluate predictors of class membership. Background:: While it is well known that posttraumatic stress disorder (PTSD) is characterized by heterogeneous symptom clusters, little is known about predominant typologies of PTSD symptoms in older adults.",1043,0,0
"32","typologies of posttraumatic stress disorder in treatment-seeking older adults","Results:: LPAs revealed that a 3-class solution best fit the data. These included an Intermediate Disturbance class (50.0%) and two Pervasive Disturbance classes, which differed with respect to severity of avoidance symptoms (Pervasive Disturbance-Low Avoidance: 33.5%, Pervasive Disturbance-High Avoidance: 16.5%). A greater number of traumatic events predicted membership in the Pervasive Disturbance classes. The Pervasive Disturbance-Low Avoidance class had a higher level of education than the Pervasive Disturbance-High Avoidance class. Compared to the Intermediate Disturbance class, the Pervasive Disturbance classes had the highest levels of depression, anxiety and somatization symptoms. Conclusion:: These results suggest that PTSD in treatment-seeking older adults may be characterized by three predominant typologies, which are differentiated by overall severity and avoidance symptoms, lifetime trauma burden, education level, and comorbid depression, anxiety, and somatization symptoms. These results underscore the importance of considering heterogeneity in the phenotypic presentation of PTSD in assessment and treatment approaches for this disorder in older adults. Methods:: Latent profile analyses (LPAs) were employed to evaluate predominant typologies of PTSD symptoms in a sample of 164 treatment-seeking older adults with childhood war-related trauma. Multinomial logistic regressions were conducted to evaluate predictors of class membership. Background:: While it is well known that posttraumatic stress disorder (PTSD) is characterized by heterogeneous symptom clusters, little is known about predominant typologies of PTSD symptoms in older adults.",46,0,0
"33","posttraumatic stress disorder",NA,14449,0,0
"34",NA,NA,14605,0,0
"35","the psychological profile using the minnesota multiphasic personality inventory and the value of this test in the evaluation of post-traumatic stress disorder in combat participants","Different stress disorders, including the posttraumatic stress disorder (PTSD), developed as the consequence of traumatic stress experience, represent the most frequent patterns of reactive mental disorders of the soldiers in war. Clinical picture of those events has mostly been described in details in the literature, but the search for simple and reliable methods of detection still lasts. The aim of this study was to determine psychological profile and value of Minnesota Multiphasic Personality Inventory (MMPI) for the detection and description of PTSD in psychotraumatized examinees. It was investigated totally 119 soldiers--the participants of combat actions in the area of former Yugoslavia, among whom 71 examines formed part of clinical group that manifested symptoms of posttraumatic stress disorder, and control group consisted of 48 war participants, but without psychopatologic consequences. The investigation was performed by application of MMPI-personality test (form MMPI-201). Significant differences between clinical and control groups of examinees were determined, which confirmed the value of that inventory in the detection of PTSD symptoms. The most discriminative value was noticed in the next test scales: atypical behavior (F), depression (D), and paranola (Pa), that was also observed in relevant foreign studies carried in war veterans.",1872,0,0
"36","the psychological profile using the minnesota multiphasic personality inventory and the value of this test in the evaluation of post-traumatic stress disorder in combat participants","Different stress disorders, including the posttraumatic stress disorder (PTSD), developed as the consequence of traumatic stress experience, represent the most frequent patterns of reactive mental disorders of the soldiers in war. Clinical picture of those events has mostly been described in details in the literature, but the search for simple and reliable methods of detection still lasts. The aim of this study was to determine psychological profile and value of Minnesota Multiphasic Personality Inventory (MMPI) for the detection and description of PTSD in psychotraumatized examinees. It was investigated totally 119 soldiers--the participants of combat actions in the area of former Yugoslavia, among whom 71 examines formed part of clinical group that manifested symptoms of posttraumatic stress disorder, and control group consisted of 48 war participants, but without psychopatologic consequences. The investigation was performed by application of MMPI-personality test (form MMPI-201). Significant differences between clinical and control groups of examinees were determined, which confirmed the value of that inventory in the detection of PTSD symptoms. The most discriminative value was noticed in the next test scales: atypical behavior (F), depression (D), and paranola (Pa), that was also observed in relevant foreign studies carried in war veterans.",10762,0,0
"37","ptsd is a chronic, fluctuating disorder affecting the mental quality of life in older adults","OBJECTIVES: Examine the longitudinal course of posttraumatic stress disorder (PTSD) in older adults and its influence on mental health quality of life (MHQoL). DESIGN: Evaluation performed at baseline, and 3 and 6 months postrandomization as part of a longitudinal trial. PARTICIPANTS AND SETTINGS: A total of 1,185 participants, with a mean (±SD) age of 73.53 (±5.98) years, at seven primary care sites (including five Veterans Affairs clinics), were divided into four groups, namely, no trauma (n = 661), trauma only (n = 319), partial PTSD (n = 114), and PTSD (n = 81), based on reports of trauma and associated PTSD symptoms. MEASUREMENTS: The prevalence of comorbid depression, anxiety, and alcohol use disorders, assessed using the Diagnostic and Statistical Manual, Fourth Edition, criteria and changes in MHQoL, as assessed by the Short Form-36 mental component score. RESULTS: At baseline, the PTSD group had higher frequencies of comorbid depression and anxiety disorders and worse MHQoL than the other groups. Both chronic (participants diagnosed with PTSD at all three assessments) and fluctuating (participants moving to or from one of the other groups) trajectories of PTSD's course were observed during the follow-up period, which appeared to be separate from that of the comorbid disorders. Even after accounting for those comorbid disorders, PTSD had an independent association with poorer MHQoL at multiple time points, especially in men, whereas trauma without PTSD symptoms (trauma only) had better MHQoL. CONCLUSIONS: PTSD had chronic and fluctuating courses, with negative effects on MHQoL, while partial PTSD might represent a transitional state, underscoring the need to better identify and treat PTSD at any phase in later life.",624,0,0
"38","ptsd is a chronic, fluctuating disorder affecting the mental quality of life in older adults","OBJECTIVES: Examine the longitudinal course of posttraumatic stress disorder (PTSD) in older adults and its influence on mental health quality of life (MHQoL). DESIGN: Evaluation performed at baseline, and 3 and 6 months postrandomization as part of a longitudinal trial. PARTICIPANTS AND SETTINGS: A total of 1,185 participants, with a mean (±SD) age of 73.53 (±5.98) years, at seven primary care sites (including five Veterans Affairs clinics), were divided into four groups, namely, no trauma (n = 661), trauma only (n = 319), partial PTSD (n = 114), and PTSD (n = 81), based on reports of trauma and associated PTSD symptoms. MEASUREMENTS: The prevalence of comorbid depression, anxiety, and alcohol use disorders, assessed using the Diagnostic and Statistical Manual, Fourth Edition, criteria and changes in MHQoL, as assessed by the Short Form-36 mental component score. RESULTS: At baseline, the PTSD group had higher frequencies of comorbid depression and anxiety disorders and worse MHQoL than the other groups. Both chronic (participants diagnosed with PTSD at all three assessments) and fluctuating (participants moving to or from one of the other groups) trajectories of PTSD's course were observed during the follow-up period, which appeared to be separate from that of the comorbid disorders. Even after accounting for those comorbid disorders, PTSD had an independent association with poorer MHQoL at multiple time points, especially in men, whereas trauma without PTSD symptoms (trauma only) had better MHQoL. CONCLUSIONS: PTSD had chronic and fluctuating courses, with negative effects on MHQoL, while partial PTSD might represent a transitional state, underscoring the need to better identify and treat PTSD at any phase in later life.",12424,0,0
"39",NA,NA,14722,0,0
"40",NA,NA,14101,0,0
